Symbol,Precision
158,KARURVYSYA,0.8690476190476191
159,KSCL,0.7849462365591398
160,KEC,0.7758620689655172
161,LICHSGFIN,0.8169014084507042
162,LT,0.8723404255319149
163,LAURUSLABS,0.7966101694915254
164,LUPIN,0.8484848484848485
165,MASFIN,0.7777777777777778
166,MMTC,0.8303571428571429
167,MOIL,0.7702702702702703
168,MGL,0.847457627118644
169,MAHSCOOTER,0.84
170,MAHSEAMLES,0.8135593220338984
171,M&M,0.7857142857142857
172,MHRIL,0.7575757575757576
173,MAHLOG,0.8571428571428571
174,MANAPPURAM,0.76
175,MRPL,0.8229166666666666
176,MIDHANI,0.7872340425531915
177,MPHASIS,0.7692307692307693
178,MCX,0.7875
179,NCC,0.7717391304347826
180,NESCO,0.813953488372093
181,NMDC,0.8333333333333334
182,NOCIL,0.8032786885245902
183,NTPC,0.7906976744186046
184,NH,0.7941176470588235
185,NATIONALUM,0.8536585365853658
186,NFL,0.8275862068965517
187,NAVNETEDUL,0.7536231884057971
188,NETWORK18,0.8165137614678899
189,NILKAMAL,0.7681159420289855
190,NAM-INDIA,0.8222222222222222
191,OBEROIRLTY,0.7916666666666666
192,ONGC,0.7761194029850746
193,OFSS,0.7868852459016393
194,ORIENTCEM,0.7721518987341772
195,PSPPROJECT,0.8444444444444444
196,PTC,0.8048780487804879
197,PAGEIND,0.7936507936507936
198,PETRONET,0.76
199,PIDILITIND,0.7894736842105263
200,PFC,0.8481012658227848
201,POWERGRID,0.875
202,PRESTIGE,0.7586206896551724
203,PRSMJOHNSN,0.8082191780821918
204,PGHH,0.8571428571428571
205,PNB,0.7570093457943925
206,RECLTD,0.8095238095238095
207,RITES,0.8666666666666667
208,RAIN,0.8679245283018868
209,RAJESHEXPO,0.8095238095238095
210,RALLIS,0.7619047619047619
211,RCF,0.8085106382978723
212,REDINGTON,0.7792207792207793
213,RELAXO,0.82
214,SBICARD,0.8
215,SJVN,0.7884615384615384
216,SKFINDIA,0.8163265306122449
217,SRF,0.7540983606557377
218,SANOFI,0.8
219,SCHAEFFLER,0.7727272727272727
220,SCHNEIDER,0.8111111111111111
221,SFL,0.8333333333333334
222,SHILPAMED,0.8125
223,SCI,0.875
224,SHREECEM,0.8032786885245902
225,SOLARA,0.8305084745762712
226,STARCEMENT,0.7674418604651163
227,SBIN,0.7922077922077922
228,SAIL,0.7888888888888889
229,SWSOLAR,0.8305084745762712
230,SUNPHARMA,0.7910447761194029
231,SUNTV,0.76
232,SUNDARMFIN,0.8490566037735849
233,SUNTECK,0.8658536585365854
234,SUPRAJIT,0.7962962962962963
235,SUPREMEIND,0.8333333333333334
236,SUVENPHAR,0.8125
237,SWARAJENG,0.926829268292683
238,TTKPRESTIG,0.8518518518518519
239,TVTODAY,0.78125
240,TV18BRDCST,0.797979797979798
241,TVSMOTOR,0.7868852459016393
242,TASTYBITE,0.8309859154929577
243,TATACOFFEE,0.7903225806451613
244,TATAINVEST,0.782608695652174
245,TATAMTRDVR,0.7711864406779662
246,TATAMOTORS,0.7692307692307693
247,TATAPOWER,0.8676470588235294
248,TEAMLEASE,0.7547169811320755
249,TECHM,0.7868852459016393
250,NIACL,0.7741935483870968
251,RAMCOCEM,0.8181818181818182
252,THYROCARE,0.8409090909090909
253,TIMKEN,0.7592592592592593
254,TORNTPHARM,0.7954545454545454
255,TORNTPOWER,0.7741935483870968
256,TRENT,0.8253968253968254
257,UCOBANK,0.8041237113402062
258,UFLEX,0.7777777777777778
259,UJJIVANSFB,0.9230769230769231
260,ULTRACEMCO,0.7592592592592593
261,UNIONBANK,0.8598130841121495
262,UBL,0.8103448275862069
263,MCDOWELL-N,0.7746478873239436
264,VIPIND,0.8727272727272727
265,VRLLOG,0.7868852459016393
266,VAIBHAVGBL,0.7976190476190477
267,VARROC,0.7868852459016393
268,VBL,0.7692307692307693
269,VENKEYS,0.813953488372093
270,WOCKPHARMA,0.8448275862068966
271,ZEEL,0.7837837837837838
272,ZENSARTECH,0.7922077922077922
