Symbol,Precision
0,ABB,0.7714285714285715
1,POWERINDIA,0.8
2,ACC,0.7704918032786885
3,ADANITRANS,0.7605633802816901
4,ABCAPITAL,0.8732394366197183
5,ABFRL,0.821917808219178
6,ADVENZYMES,0.7738095238095238
7,AEGISCHEM,0.7848101265822784
8,AFFLE,0.7567567567567568
9,ALEMBICLTD,0.7934782608695652
10,ALOKINDS,0.7560975609756098
11,AMARAJABAT,0.7704918032786885
12,AMBER,0.8222222222222222
13,AMBUJACEM,0.7931034482758621
14,ASHOKA,0.7706422018348624
15,ASTERDM,0.8
16,ASTRAZEN,0.8085106382978723
17,DMART,0.7777777777777778
18,BAJAJ-AUTO,0.8085106382978723
19,BAJAJELEC,0.8
20,BAJAJFINSV,0.7818181818181819
21,BAJAJHLDNG,0.7727272727272727
22,BALMLAWRIE,0.7647058823529411
23,BALRAMCHIN,0.7582417582417582
24,BANDHANBNK,0.7681159420289855
25,BANKBARODA,0.8297872340425532
26,BANKINDIA,0.7747747747747747
27,MAHABANK,0.7976190476190477
28,BATAINDIA,0.7818181818181819
29,BHARATFORG,0.8064516129032258
30,BHEL,0.8378378378378378
31,BPCL,0.8157894736842105
32,BIRLACORPN,0.8026315789473685
33,BLUEDART,0.7682926829268293
34,BLUESTARCO,0.8113207547169812
35,BOMDYEING,0.8272727272727273
36,CCL,0.8113207547169812
37,CESC,0.7777777777777778
38,CANFINHOME,0.76
39,CANBK,0.8421052631578947
40,CAPLIPOINT,0.7887323943661971
41,CARBORUNIV,0.76
42,CASTROLIND,0.8166666666666667
43,CEATLTD,0.8
44,CDSL,0.7941176470588235
45,CENTURYPLY,0.8372093023255814
46,CERA,0.7540983606557377
47,CHAMBLFERT,0.7647058823529411
48,CHENNPETRO,0.797979797979798
49,CHOLAFIN,0.8260869565217391
50,CIPLA,0.8636363636363636
51,CUB,0.8571428571428571
52,COALINDIA,0.7761194029850746
53,COCHINSHIP,0.7692307692307693
54,COLPAL,0.7727272727272727
55,CONCOR,0.78125
56,COROMANDEL,0.7586206896551724
57,CREDITACC,0.8222222222222222
58,DCBBANK,0.7534246575342466
59,DELTACORP,0.7640449438202247
60,DHANI,0.8120300751879699
61,DHANUKA,0.7714285714285715
62,DBL,0.87
